Year,Team,OFF,QB_cap,RB_cap,WR_cap,TE_cap,OL_cap,DEF,ED_cap,DL_cap,LB_cap,CB_cap,S_cap,SPT,K_cap,P_cap,LS_cap,Total_cap,QB_avg,RB_avg,WR_avg,TE_avg,OL_avg,ED_avg,DL_avg,LB_avg,CB_avg,S_avg,K_avg,P_avg,LS_avg,Total_avg,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Conference,T
2012,BAL,,8.49,5.99,11.84,2.03,14.46,,15.91,13.71,2.06,4.81,14.49,,0.39,2.2,0.54,101.26,6.49,8.13,14.36,2.04,18.86,14.95,16.03,2.08,5.72,12.31,0.48,2.5,0.54,108.16,10,6,0.625,398,344,54,3.4,-0.5,2.9,1.9,1.0,AFC,0
2012,BUF,,9.45,3.81,10.32,0.94,7.32,,14.62,9.78,8.24,4.1,6.16,,2.3,0.39,1.01,79.49,16.83,5.83,13.81,1.04,7.92,22.41,9.74,8.3,5.28,6.92,3.29,0.48,1.07,104.19,6,10,0.375,344,435,-91,-5.7,-1.0,-6.7,-0.9,-5.8,AFC,0
2012,CAR,,6.37,13.04,11.26,4.65,16.54,,12.54,5.63,10.45,2.71,5.38,,0.19,0.41,0.77,91.17,7.14,16.46,10.7,6.72,14.72,14.56,5.54,17.37,2.07,9.12,0.67,0.54,0.9,109.0,7,9,0.438,357,363,-6,-0.4,1.2,0.8,-0.5,1.3,NFC,0
2012,CHI,,13.64,7.42,17.47,4.87,10.36,,15.07,3.39,21.1,10.18,1.86,,0.12,1.68,1.06,109.1,14.45,8.22,21.18,6.0,11.42,16.89,3.51,21.55,12.88,1.85,0.93,2.0,0.93,122.83,10,6,0.625,375,277,98,6.1,0.8,6.9,1.0,6.0,NFC,0
2012,CIN,,3.19,3.61,6.9,2.74,20.74,,9.24,7.69,6.03,20.33,6.69,,0.1,1.31,1.26,90.86,3.3,4.02,7.59,3.54,25.6,7.91,9.36,6.52,21.85,7.45,0.83,0.49,1.26,100.92,10,6,0.625,391,320,71,4.4,-2.4,2.1,1.2,0.9,AFC,0
2012,CLE,,4.02,7.26,6.27,7.02,21.72,,4.57,13.6,9.9,21.06,2.09,,3.81,1.34,0.39,103.63,4.56,8.62,9.46,6.45,19.97,5.16,13.23,12.01,19.37,1.75,3.81,1.36,0.39,106.76,5,11,0.313,302,368,-66,-4.1,-1.2,-5.3,-4.6,-0.7,AFC,0
2012,DAL,,9.96,3.42,9.25,9.14,13.83,,7.68,7.56,21.11,8.7,4.44,,0.47,0.93,0.95,98.32,14.75,4.4,12.81,8.41,22.23,7.49,10.0,28.99,16.84,6.85,0.47,0.93,0.85,136.19,8,8,0.5,376,400,-24,-1.5,1.8,0.3,1.4,-1.2,NFC,0
2012,DEN,,19.76,4.79,6.93,4.21,15.18,,3.51,6.28,31.09,16.33,5.17,,1.81,0.54,0.39,116.39,21.33,5.82,6.74,6.49,13.73,4.32,5.93,26.05,15.71,5.69,3.25,0.54,0.48,116.52,13,3,0.813,481,289,192,12.0,-1.9,10.1,6.3,3.8,AFC,0
2012,DET,,11.58,2.09,18.78,5.96,23.9,,16.62,7.54,10.4,9.69,4.38,,3.23,0.93,0.61,115.7,15.24,2.13,27.06,6.66,22.89,19.91,14.7,11.93,9.6,4.46,1.98,0.93,0.89,138.37,4,12,0.25,372,437,-65,-4.1,1.8,-2.3,2.1,-4.4,NFC,0
2012,GB,,9.04,1.71,21.41,3.78,13.24,,10.78,13.27,2.07,10.52,13.98,,2.4,0.78,0.88,106.26,11.13,2.41,20.58,8.49,18.77,11.76,14.51,1.86,11.82,14.07,2.95,1.37,0.91,123.14,11,5,0.688,433,336,97,6.1,1.2,7.3,4.9,2.4,NFC,0
2012,HOU,,12.2,9.65,11.94,5.91,16.08,,2.77,18.09,2.64,10.04,8.17,,0.64,0.89,0.6,100.75,16.82,10.67,15.8,6.09,22.86,3.38,16.68,3.27,15.39,7.7,0.99,0.89,0.73,122.21,12,4,0.75,416,331,85,5.3,-1.8,3.5,1.8,1.7,AFC,0
